Date,MeanTemp,GHG emmisions
1880-01-06,-0.3,35672268.57
1880-01-06,0.0009,39108796.33
1880-02-06,-0.21,35877252.06
1880-02-06,-0.1229,34823678.78
1880-03-06,-0.18,36933995.13
1880-03-06,-0.1357,38691620.52
1880-04-06,-0.27,35121297.98
1880-04-06,-0.0499,38933959.45
1880-05-06,-0.14,37155525.55
1880-05-06,-0.0738,39635076.46
1880-06-06,-0.29,35542615.63
1880-06-06,-0.1692,37443417.71
1880-07-06,-0.24,35465949.98
1880-07-06,-0.1491,35972997.7
1880-08-06,-0.08,34999716.67
1880-08-06,-0.0725,36567935.77
1880-09-06,-0.17,37494255.28
1880-09-06,-0.0817,35974173.54
1880-10-06,-0.16,36398166.03
1880-10-06,-0.1786,36410471.58
1880-11-06,-0.19,34851359.95
1880-11-06,-0.2672,35376082.73
1880-12-06,-0.22,37622745.8
1880-12-06,-0.0775,40334710.79
1881-01-06,-0.1,37611854.47
1881-01-06,-0.0205,42102029.56
1881-02-06,-0.14,38507810.67
1881-02-06,-0.0296,40776292.25
1881-03-06,0.01,41257556.02
1881-03-06,0.0348,37403346.07
1881-04-06,-0.03,38159348.29
1881-04-06,0.0734,37269547.46
1881-05-06,-0.04,38760836.46
1881-05-06,0.0284,41033548.87
1881-06-06,-0.28,38354138.49
1881-06-06,-0.0892,38216611.23
1881-07-06,-0.07,37505450.14
1881-07-06,-0.0329,37419123.57
1881-08-06,-0.03,36929347.5
1881-08-06,-0.0519,38626751.96
1881-09-06,-0.09,39018378.68
1881-09-06,-0.1824,37301969.39
1881-10-06,-0.2,37644333.9
1881-10-06,-0.2207,41289177.18
1881-11-06,-0.26,39780761.88
1881-11-06,-0.2194,37178087.96
1881-12-06,-0.16,39918514.54
1881-12-06,-0.0439,39860532.43
1882-01-06,0.09,43471290.39
1882-01-06,0.0883,42949842.49
1882-02-06,0.08,41669783.92
1882-02-06,0.0385,38069176.68
1882-03-06,0.01,39397774.31
1882-03-06,0.0754,42026972.24
1882-04-06,-0.2,41104753.24
1882-04-06,-0.1241,39945616.71
1882-05-06,-0.18,42841699.02
1882-05-06,-0.1459,42148419.27
1882-06-06,-0.25,44075003.56
1882-06-06,-0.1391,41728134.87
1882-07-06,-0.11,41698230.41
1882-07-06,-0.0666,42601936.93
1882-08-06,0.03,38352481.27
1882-08-06,-0.0037,40333195.13
1882-09-06,-0.01,44717832.65
1882-09-06,0.0077,38850845.89
1882-10-06,-0.23,44151872.79
1882-10-06,-0.2101,43254467.99
1882-11-06,-0.21,39797505.22
1882-11-06,-0.1279,39926300.69
1882-12-06,-0.25,38337921.58
1882-12-06,-0.1705,39585334.73
1883-01-06,-0.34,45026254.87
1883-01-06,-0.2707,41353816.37
1883-02-06,-0.42,43218025.36
1883-02-06,-0.2915,39263874.72
1883-03-06,-0.18,40555564.85
1883-03-06,-0.1326,38873801.03
1883-04-06,-0.25,38933996.95
1883-04-06,-0.1746,43912180.48
1883-05-06,-0.26,39874025.49
1883-05-06,-0.1455,40670224.83
1883-06-06,-0.13,42792044.63
1883-06-06,-0.0066,41010896.27
1883-07-06,-0.09,41767681.44
1883-07-06,-0.0849,38776884.78
1883-08-06,-0.14,42824269.38
1883-08-06,-0.0526,44149702.19
1883-09-06,-0.19,39034108.97
1883-09-06,-0.1467,43705830.58
1883-10-06,-0.12,40715189.14
1883-10-06,-0.1612,42265808.65
1883-11-06,-0.21,45344102.31
1883-11-06,-0.1683,44878625.51
1883-12-06,-0.19,43098977.79
1883-12-06,-0.0738,40132648.42
1884-01-06,-0.18,44478068.06
1884-01-06,-0.1843,42843219.46
